BusinessDate,Strike,OptionType,ExpiryDate,InsertionSequence,GlobalSequence,RecordDateTime,LowerCircuitLimit,UpperCircuitLimit
2025-10-09,47500.00,PE,2025-12-30 00:00:00.0000000,4,0,2025-10-10 08:55:19.3957093,.05,40.05
2025-10-09,47500.00,PE,2025-10-28 00:00:00.0000000,4,0,2025-10-10 08:55:19.3957093,.05,29.60
2025-10-09,47500.00,PE,2025-10-28 00:00:00.0000000,5,0,2025-10-10 09:00:44.0283264,.05,29.60
2025-10-09,47500.00,PE,2025-12-30 00:00:00.0000000,5,0,2025-10-10 09:00:44.0283264,.05,40.05
2025-10-09,47500.00,PE,2025-11-25 00:00:00.0000000,5,0,2025-10-10 09:00:44.0283264,.05,22.25
2025-10-09,47500.00,PE,2025-11-25 00:00:00.0000000,6,0,2025-10-10 09:06:39.7987097,.05,22.25
2025-10-09,47500.00,PE,2025-12-30 00:00:00.0000000,6,0,2025-10-10 09:06:39.7987097,.05,40.05
2025-10-09,47500.00,PE,2025-10-28 00:00:00.0000000,6,0,2025-10-10 09:06:39.7987097,.05,29.60
2025-10-09,47500.00,PE,2025-10-28 00:00:00.0000000,7,0,2025-10-10 09:12:47.6170480,.05,29.60
2025-10-09,47500.00,PE,2025-12-30 00:00:00.0000000,7,0,2025-10-10 09:12:47.6170480,.05,40.05
2025-10-09,47500.00,PE,2025-11-25 00:00:00.0000000,7,0,2025-10-10 09:12:47.6170480,.05,22.25
2025-10-09,48000.00,CE,2025-11-25 00:00:00.0000000,1,0,2025-10-10 08:38:26.0351625,7087.00,10136.10
2025-10-09,48000.00,CE,2025-12-30 00:00:00.0000000,1,0,2025-10-10 08:38:26.0351625,7369.80,10378.50
2025-10-09,48000.00,CE,2026-09-29 00:00:00.0000000,1,0,2025-10-10 08:38:26.0351625,8244.10,14510.20
2025-10-09,48000.00,CE,2025-10-28 00:00:00.0000000,1,0,2025-10-10 08:38:26.0351625,6820.80,9880.60
2025-10-09,48000.00,CE,2026-06-30 00:00:00.0000000,1,0,2025-10-10 08:38:26.0351625,7697.30,13421.40
2025-10-09,48000.00,CE,2026-03-31 00:00:00.0000000,1,0,2025-10-10 08:38:26.0351625,7161.90,12269.50
2025-10-09,48000.00,CE,2026-03-31 00:00:00.0000000,2,0,2025-10-10 08:44:33.5513994,7161.90,12269.50
2025-10-09,48000.00,CE,2026-06-30 00:00:00.0000000,2,0,2025-10-10 08:44:33.5513994,7697.30,13421.40
2025-10-09,48000.00,CE,2025-10-28 00:00:00.0000000,2,0,2025-10-10 08:44:33.5513994,6820.80,9880.60
2025-10-09,48000.00,CE,2026-09-29 00:00:00.0000000,2,0,2025-10-10 08:44:33.5513994,8244.10,14510.20
2025-10-09,48000.00,CE,2025-12-30 00:00:00.0000000,2,0,2025-10-10 08:44:33.5513994,7369.80,10378.50
2025-10-09,48000.00,CE,2025-11-25 00:00:00.0000000,2,0,2025-10-10 08:44:33.5513994,7087.00,10136.10
2025-10-09,48000.00,CE,2025-11-25 00:00:00.0000000,3,0,2025-10-10 08:49:54.0896798,7087.00,10136.10
2025-10-09,48000.00,CE,2025-12-30 00:00:00.0000000,3,0,2025-10-10 08:49:54.0896798,7369.80,10378.50
2025-10-09,48000.00,CE,2026-09-29 00:00:00.0000000,3,0,2025-10-10 08:49:54.0896798,8244.10,14510.20
